否皮肉,:1.0000100135803223,皮肉,:1.0000003385357559e-05,__label__皮肉, ええ……かわいい……かわいいけどなぜこのタイミングでクイズ大会……監督もいるし
否皮肉,:1.0000089406967163,皮肉,:1.1072879715356976e-05,__label__皮肉, やっすいお菓子食べながら億単位のお金動くの見て、週末親が少しのお金わあい！当たった！ってしとるの見て人生色々やと考えるわ🤪🤪🤪🤪馬はかわいいのー💖
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, マリアって名前の自然災害が人を襲うってクッソ皮肉効いてて好き。
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, ナナライ行った時、キャストさん達ほんとにキラキラしてて元気もらったしすごいなって思ったけど、その一方でこんだけ歪んだ人間もいるんだもんなあ～～いや～可哀想…人生損してるよねえ…（皮肉）
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, グッズ“だけ”はガンガン出してたのにね（皮肉）
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 役所でおっさんが警備員に「お前は税金から給料もらってるんだろ」ってからんでたけど、こういう人がいるから税金使ってでも人雇わなきゃいけなくなってるの、皮肉以外のなにものでもないよね
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 「ご冥福をお祈り致します」とは「まぁせいぜい地獄で幸せになるんだな」というのが本来の意味で、つまりは皮肉寄りの言葉らしいです。正しくは「○○さんのご逝去を悼み、謹んで哀悼の意を表します」や「お悔やみ申し上げます」などがよいらしいです。って、いつか公式したものを貼付けてみる。
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 近頃の奴らは信用ならん。任せたらこれだ。なぁ！？まあいい、自分でやるさ。世の中、皮肉だ。
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 内職を始めて２週間目に、会社から電話があり「次回配達分から別の仕事をやってもらいます。」とのことでした。この頃から内職仲間のうちの数人から、「割に合わない。」や「１回ランチを我慢したほうがましだね。」などの皮肉が出始めました。
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 日本国は、お年寄りを大切にし過ぎたみたいだ。圧倒的な信頼は、お国に向ける老人たち💚と言うのは、かなりの皮肉で💧見よ❗️不幸な老人たちは、何も持たないまま。お国に従うと言う。最後まで看取るべきだ。彼女は、孫も息子も亭…
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 水が上から大量に降ってきたせいで水の入手に苦労するってのも皮肉な話ですね。
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 女「ねえ、私の作った料理どうだった？」男「愛してるよ」女「料理の味を聞いてるのよ。食べたんでしょう？」男「食べたさ。それでも君を愛してるよ」
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 不動産の担当の人がこの垢見てたら面白いのになぁ、と思ってしまう（笑）
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 「何が目的で筋トレしてるの？」にはストレス解消、体力向上、筋肉を愛してるから、闘争心の維持、趣味、本能、アンチエイジング、太りづらい身体、セクシーな身体、健康管理、美容、モテ、楽しいから、筋肉を愛してるから等無限の回答があるので逆に問いたい。「なぜ君は筋トレをしてないのか？」と。
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 「戦争に巻き込まれれば自衛隊の命が～」と繰り返すのは、どの口？頭の悪い民間人なら、政府の人間なら、殺してもいいと。その程度の人格者(笑)の『争いは辞めよう、無益だ、平和万歳！』なんてメッセージ、薄っぺらくて説得力皆無…
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 色々あるだろうが、野球には坊主や丸刈りまではいかなくても、短髪が合ってる競技だとは思う。ということは、やる以前の見た目から入ろうとする人が野球を敬遠しているんだろう。良く言えばスマート、皮肉を込めるならカッコつけって言われる人たちよ。
否皮肉,:0.9999998807907104,皮肉,:2.013278572121635e-05,__label__皮肉, 三島さんもほんとはもっと皮肉っぽく書けるけど自制してた感が見受けられるからなあ…エラいわ(三島父とかあからさまに皮肉屋さん笑それはそれでおもろい。まあ、一般人やしな)
